,question,qtype,qtype_coarse,qtype_fine
0,"How did serfdom develop in and then leave Russia ?
",DESC:manner,DESC,manner
1,"What films featured the character Popeye Doyle ?
",ENTY:cremat,ENTY,cremat
2,"How can I find a list of celebrities ' real names ?
",DESC:manner,DESC,manner
3,"What fowl grabs the spotlight after the Chinese Year of the Monkey ?
",ENTY:animal,ENTY,animal
4,"What is the full form of .com ?
",ABBR:exp,ABBR,exp
5,"What contemptible scoundrel stole the cork from my lunch ?
",HUM:ind,HUM,ind
6,"What team did baseball 's St. Louis Browns become ?
",HUM:gr,HUM,gr
7,"What is the oldest profession ?
",HUM:title,HUM,title
8,"What are liver enzymes ?
",DESC:def,DESC,def
9,"Name the scar-faced bounty hunter of The Old West .
",HUM:ind,HUM,ind
10,"When was Ozzy Osbourne born ?
",NUM:date,NUM,date
11,"Why do heavier objects travel downhill faster ?
",DESC:reason,DESC,reason
12,"Who was The Pride of the Yankees ?
",HUM:ind,HUM,ind
13,"Who killed Gandhi ?
",HUM:ind,HUM,ind
14,"What is considered the costliest disaster the insurance industry has ever faced ?
",ENTY:event,ENTY,event
15,"What sprawling U.S. state boasts the most airports ?
",LOC:state,LOC,state
16,"What did the only repealed amendment to the U.S. Constitution deal with ?
",DESC:desc,DESC,desc
17,"How many Jews were executed in concentration camps during WWII ?
",NUM:count,NUM,count
18,"What is `` Nine Inch Nails '' ?
",DESC:def,DESC,def
19,"What is an annotated bibliography ?
",DESC:def,DESC,def
20,"What is the date of Boxing Day ?
",NUM:date,NUM,date
21,"What articles of clothing are tokens in Monopoly ?
",ENTY:other,ENTY,other
22,"Name 11 famous martyrs .
",HUM:ind,HUM,ind
23,"What 's the Olympic motto ?
",DESC:desc,DESC,desc
24,"What is the origin of the name ` Scarlett ' ?
",DESC:desc,DESC,desc
25,"What 's the second-most-used vowel in English ?
",ENTY:letter,ENTY,letter
26,"Who was the inventor of silly putty ?
",HUM:ind,HUM,ind
27,"What is the highest waterfall in the United States ?
",LOC:other,LOC,other
28,"Name a golf course in Myrtle Beach .
",ENTY:other,ENTY,other
29,"Which two states enclose Chesapeake Bay ?
",LOC:state,LOC,state
30,"What does the abbreviation AIDS stand for ?
",ABBR:exp,ABBR,exp
31,"What does a spermologer collect ?
",ENTY:other,ENTY,other
32,"How many points make up a perfect fivepin bowling score ?
",NUM:count,NUM,count
33,"Which company that manufactures video-game hardware sells the `` super system '' ?
",HUM:gr,HUM,gr
34,"How many Community Chest cards are there in Monopoly ?
",NUM:count,NUM,count
35,"What do Mormons believe ?
",DESC:desc,DESC,desc
36,"When did the neanderthal man live ?
",NUM:date,NUM,date
37,"In what religion was Isis the nature goddess ?
",ENTY:religion,ENTY,religion
38,"Where do the adventures of `` The Swiss Family Robinson '' take place ?
",LOC:other,LOC,other
39,"What relative of the racoon is sometimes known as the cat-bear ?
",ENTY:animal,ENTY,animal
40,"How can I register my website in Yahoo for free ?
",DESC:manner,DESC,manner
41,"What was cash-conscious Colonel Edwin L. Drake the first to drill ?
",ENTY:other,ENTY,other
42,"How many people in the world speak French ?
",NUM:count,NUM,count
43,"How many inches over six feet is the Venus de Milo ?
",NUM:count,NUM,count
44,"How do they find or choose witnesses to an execution ?
",DESC:manner,DESC,manner
45,"What 1920s cowboy star rode Tony the Wonder Horse ?
",HUM:ind,HUM,ind
46,"What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?
",ENTY:food,ENTY,food
47,"What ISPs exist in the Caribbean ?
",HUM:gr,HUM,gr
48,"How do you ask a total stranger out on a date ?
",DESC:manner,DESC,manner
49,"What weapon is the mythological character Apollo most proficient with ?
",ENTY:other,ENTY,other
50,"What country do the Galapagos Islands belong to ?
",LOC:country,LOC,country
51,"What is ethology ?
",DESC:def,DESC,def
52,"Who was the prophet of the Muslim people ?
",HUM:ind,HUM,ind
53,"Where did the term `` 86ed '' come from ?
",DESC:desc,DESC,desc
54,"Who is Snoopy 's arch-enemy ?
",HUM:ind,HUM,ind
55,"What is the nature of learning ?
",DESC:def,DESC,def
56,"What 's the only color Johnny Cash wears on stage ?
",ENTY:color,ENTY,color
57,"What 's the term for a young fox ?
",ENTY:termeq,ENTY,termeq
58,"What U.S. state lived under six flags ?
",LOC:state,LOC,state
59,"What is the Kashmir issue ?
",DESC:def,DESC,def
60,"Where is the Loop ?
",LOC:other,LOC,other
61,"What does `` extended definition '' mean and how would one write a paper on it ?
",DESC:def,DESC,def
62,"What country 's capital is Tirana ?
",LOC:country,LOC,country
63,"What is titanium ?
",DESC:def,DESC,def
64,"Who do Herb and Tootsie live next door to ?
",HUM:ind,HUM,ind
65,"Which city has the oldest relationship as a sisterðcity with Los Angeles ?
",LOC:city,LOC,city
66,"What is a caldera ?
",DESC:def,DESC,def
67,"Why do people get calluses ?
",DESC:reason,DESC,reason
68,"What are the names of the tourist attractions in Reims ?
",LOC:other,LOC,other
69,"What are Cushman and Wakefield known for ?
",DESC:reason,DESC,reason
70,"What body of water does the Danube River flow into ?
",LOC:other,LOC,other
71,"Who is the founder of Scientology ?
",HUM:ind,HUM,ind
72,"What does the six-footed Musca domestica become when it enters a house ?
",ENTY:other,ENTY,other
73,"What is the history of skateboarding ?
",DESC:desc,DESC,desc
74,"Who starred in Singing in the Rain and The Singing Nun ?
",HUM:ind,HUM,ind
75,"How do I make fuel bricks from recycled newspaper ?
",DESC:manner,DESC,manner
76,"What 19th-century painter died in the Marquesas Islands ?
",HUM:ind,HUM,ind
77,"The corpus callosum is in what part of the body ?
",ENTY:body,ENTY,body
78,"How do I log on to home page at Headquarters U.S. European Command ?
",DESC:manner,DESC,manner
79,"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .
",LOC:country,LOC,country
80,"What is Nebraska 's most valuable resource ?
",ENTY:other,ENTY,other
81,"How many species of the Great White shark are there ?
",NUM:count,NUM,count
82,"What is the origin of head lice ?
",DESC:desc,DESC,desc
83,"What is the nickname for the state of Mississippi ?
",LOC:state,LOC,state
84,"What was the first domesticated bird ?
",ENTY:animal,ENTY,animal
85,"How many villi are found in the small intestine ?
",NUM:count,NUM,count
86,"What country did King Wenceslas rule ?
",LOC:country,LOC,country
87,"What is a fear of shadows ?
",ENTY:dismed,ENTY,dismed
88,"Who were the five Marx brothers ?
",HUM:ind,HUM,ind
89,"In which year was New Zealand excluded from the ANZUS alliance ?
",NUM:date,NUM,date
90,"When did CNN begin broadcasting ?
",NUM:date,NUM,date
91,"What causes the body to shiver in cold temperatures ?
",DESC:reason,DESC,reason
92,"What are bear and bull markets ?
",DESC:def,DESC,def
93,"What J.R.R. Tolkien book features Bilbo Baggins as the central character ?
",ENTY:cremat,ENTY,cremat
94,"What is `` dew point '' ?
",DESC:def,DESC,def
95,"What is the meaning of Jesus ?
",DESC:def,DESC,def
